nfi_plot,loc_id,meas_date,meas_num,plot_type,nom_plot_size,meas_plot_size,plot_split,species_smtnum,bindex_stshannon,bindex_steven,bindex_stmargalef,plotbio_smt_stemwood_live,plotbio_smt_stembark_live,plotbio_smt_branches_live,plotbio_smt_foliage_live,plotbio_smt_stemwood_dead,plotbio_smt_stembark_dead,plotbio_smt_branches_dead
860211,0,2005-JUL-31,0,STC,-1.0000,0.0050,F,0,,,,0.00,0.00,0.00,0.00,1.74,0.38,0.24
861151,0,2006-SEP-12,0,STC,0.0040,0.0040,F,2,0.27,0.39,0.39,1.72,0.30,0.49,1.84,0.05,0.01,0.01
861151,0,2015-SEP-08,1,STC,0.0050,0.0050,N,3,0.80,0.73,0.51,3.01,0.55,1.78,5.44,0.00,0.00,0.00
867091,0,2005-AUG-07,0,STC,-1.0000,0.0050,F,6,1.50,0.83,1.35,3.93,1.15,1.09,1.42,0.02,0.01,0.03
873921,0,2006-JUL-24,0,STC,-1.0000,0.0050,F,2,0.61,0.88,0.26,6.48,1.73,0.84,2.64,0.07,0.02,0.01
873961,0,2005-AUG-01,0,STC,-1.0000,0.0050,F,4,1.30,0.94,1.14,2.97,0.74,0.50,1.19,0.96,0.00,0.00
874051,0,2006-JUL-30,0,STC,-1.0000,0.0050,F,2,0.69,1.00,0.40,3.14,0.97,1.38,0.69,0.22,0.06,0.02
880786,0,2006-JUL-26,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,3.66,0.90,0.59,1.71,0.31,0.08,0.05
880796,0,2006-JUL-25,0,STC,-1.0000,0.0050,F,2,0.68,0.99,0.32,2.05,0.59,0.31,1.03,0.10,0.04,0.01
880806,0,2002-AUG-12,0,STC,-1.0000,0.0050,F,2,0.38,0.54,0.31,5.61,1.34,0.87,2.23,0.00,0.00,0.00
880821,0,2005-AUG-01,0,STC,-1.0000,0.0050,F,5,1.38,0.86,1.14,1.56,0.48,0.55,0.69,0.71,0.08,0.05
880841,0,2002-AUG-07,0,STC,-1.0000,0.0050,F,2,0.60,0.86,0.38,1.65,0.37,0.34,0.91,0.00,0.00,0.00
880846,0,2002-AUG-09,0,STC,-1.0000,0.0050,F,2,0.64,0.92,0.56,0.18,0.08,0.01,0.13,0.00,0.00,0.00
880886,0,2005-AUG-03,0,STC,-1.0000,0.0050,F,3,0.82,0.74,0.59,6.30,1.93,3.11,1.47,0.13,0.00,0.00
881726,0,2006-JUL-26,0,STC,0.0040,0.0040,F,1,0.00,,0.00,0.00,0.00,0.00,0.00,3.99,0.73,1.00
881726,0,2015-JUL-15,1,STC,0.0050,0.0050,N,1,0.00,,0.00,0.09,0.04,0.03,0.04,3.33,0.61,0.84
881761,0,2015-JUL-30,0,STC,0.0050,0.0050,N,2,0.68,0.98,0.24,4.23,0.84,2.39,8.54,0.03,0.01,0.02
881766,1,2015-JUL-29,0,STC,0.0050,0.0050,N,3,0.52,0.47,0.45,10.93,2.24,5.87,15.76,0.00,0.00,0.00
881786,0,2006-AUG-01,0,STC,0.0040,0.0040,F,1,0.00,,0.00,1.41,0.26,0.43,0.85,1.86,0.32,0.47
881786,0,2015-SEP-10,1,STC,0.0050,0.0050,N,1,0.00,,0.00,2.78,0.44,0.26,0.39,2.47,0.41,0.50
881936,0,2003-SEP-22,0,STC,-1.0000,0.0050,F,2,0.56,0.81,0.72,2.29,0.61,0.80,0.94,0.58,0.08,0.26
881936,0,2011-NOV-09,1,STC,0.0050,0.0050,N,1,0.00,,0.00,0.69,0.24,0.26,0.37,1.47,0.21,0.31
887701,0,2005-AUG-02,0,STC,-1.0000,0.0050,F,4,0.91,0.66,0.99,2.43,0.64,0.51,1.36,1.51,0.29,0.23
887706,0,2005-JUL-31,0,STC,-1.0000,0.0050,F,3,0.95,0.86,1.24,0.09,0.04,0.06,0.04,3.80,0.41,0.23
887711,0,2002-AUG-09,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,0.03,0.01,0.01,0.04,0.00,0.00,0.00
887751,0,2005-AUG-03,0,STC,-1.0000,0.0050,F,4,0.79,0.57,1.17,4.82,1.16,0.76,1.74,1.26,0.28,0.21
887761,0,2005-AUG-04,0,STC,-1.0000,0.0050,F,4,1.30,0.94,0.88,3.15,0.86,0.99,1.03,0.00,0.00,0.00
894591,0,2005-JUL-30,0,STC,-1.0000,0.0050,F,5,1.38,0.85,1.11,6.55,1.57,1.58,2.15,0.15,0.05,0.04
895586,0,2006-JUL-17,0,STC,0.0040,0.0040,F,6,1.77,0.99,1.67,6.50,0.77,2.08,1.84,0.00,0.00,0.00
895611,0,2006-JUL-15,0,STC,0.0040,0.0040,F,7,1.48,0.76,1.86,3.44,0.58,1.38,0.91,0.48,0.01,0.17
901471,0,2005-JUL-30,0,STC,-1.0000,0.0050,F,2,0.22,0.32,0.25,6.39,1.57,1.10,3.05,0.92,0.23,0.18
901506,0,2006-JUL-29,0,STC,-1.0000,0.0050,F,2,0.67,0.96,0.39,3.57,1.02,0.35,1.17,0.00,0.00,0.00
901546,0,2006-JUL-30,0,STC,-1.0000,0.0050,F,3,0.72,0.65,0.54,8.50,2.26,1.67,2.82,2.44,0.61,0.39
901566,0,2005-AUG-05,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,3.64,0.82,0.57,1.29,0.79,0.23,0.04
902356,0,2006-JUL-26,0,STC,0.0040,0.0040,F,1,0.00,,0.00,7.04,1.26,1.96,3.73,0.00,0.00,0.00
902356,0,2015-JUL-16,1,STC,0.0050,0.0050,N,1,0.00,,0.00,1.09,0.24,0.48,1.49,3.31,0.59,1.07
902421,1,2015-SEP-11,0,STC,0.0050,0.0050,N,5,1.22,0.76,1.07,7.97,1.55,3.06,7.05,0.04,0.00,0.03
908331,0,2002-AUG-19,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,0.38,0.09,0.05,0.17,0.00,0.00,0.00
908381,0,2005-JUL-29,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,3.34,0.78,0.46,1.26,1.33,0.09,0.04
909276,0,2006-SEP-10,0,STC,0.0040,0.0040,F,4,0.98,0.71,0.94,7.93,1.43,1.91,4.52,0.00,0.00,0.00
909276,1,2015-SEP-12,0,STC,0.0050,0.0050,N,3,0.44,0.40,0.54,7.47,1.30,2.35,6.45,2.68,0.49,0.92
909336,0,2006-JUL-16,0,STC,0.0040,0.0040,F,7,1.46,0.75,1.32,4.98,1.98,2.35,2.34,0.00,0.00,0.00
909466,0,2004-SEP-09,0,STC,-1.0000,0.0050,F,2,0.26,0.37,0.38,0.45,0.18,0.21,0.26,0.00,0.00,0.00
909466,0,2011-NOV-08,1,STC,0.0050,0.0050,N,1,0.00,,0.00,2.57,0.78,0.77,0.40,0.00,0.00,0.00
909476,0,2004-SEP-13,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,4.68,1.40,1.22,1.78,1.89,0.69,1.11
909476,0,2012-SEP-25,1,STC,0.0050,0.0050,N,1,0.00,,0.00,4.33,1.30,1.35,1.73,0.00,0.00,0.00
915246,0,2002-AUG-28,0,STC,-1.0000,0.0050,F,3,0.11,0.10,0.44,1.56,0.51,1.38,6.01,0.00,0.00,0.00
915266,0,2005-AUG-29,0,STC,-1.0000,0.0025,H,4,0.35,0.25,0.76,10.51,2.65,1.72,5.01,0.57,0.15,0.18
915301,0,2005-AUG-04,0,STC,-1.0000,0.0050,F,2,0.67,0.97,0.62,0.09,0.03,0.08,0.05,0.09,0.02,0.01
916121,1,2015-JUL-17,0,STC,0.0050,0.0050,N,1,0.00,,0.00,12.29,2.27,3.52,7.67,0.00,0.00,0.00
916166,1,2015-JUL-28,0,STC,0.0050,0.0050,N,0,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
916171,0,2006-JUL-31,0,STC,0.0040,0.0040,F,1,0.00,,0.00,1.99,0.35,0.58,0.95,0.00,0.00,0.00
916171,0,2015-SEP-13,1,STC,0.0050,0.0050,N,1,0.00,,0.00,1.86,0.32,0.41,0.64,0.00,0.00,0.00
916316,0,2003-AUG-21,0,STC,-1.0000,0.0050,F,5,1.09,0.68,1.04,10.10,2.91,4.03,2.32,0.00,0.00,0.00
916316,0,2015-AUG-06,1,STC,0.0050,0.0050,N,5,1.14,0.71,1.24,16.09,3.08,4.51,2.86,0.61,0.14,0.16
916351,0,2003-SEP-23,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,0.54,0.22,0.20,0.04,0.00,0.00,0.00
916351,0,2011-NOV-07,1,STC,0.0050,0.0050,N,2,0.69,1.00,0.32,0.33,0.16,0.12,0.27,0.00,0.00,0.00
922181,0,2005-AUG-06,0,STC,-1.0000,0.0050,F,4,1.19,0.86,0.88,4.39,1.27,0.82,1.30,0.03,0.01,0.00
923096,0,2006-JUL-25,0,STC,0.0040,0.0040,F,3,0.95,0.86,1.24,4.96,1.23,1.11,0.40,1.13,0.34,0.25
923201,0,2003-AUG-19,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,3.24,1.04,1.24,1.57,0.00,0.00,0.00
