nfi_plot,loc_id,meas_date,meas_num,plot_type,nom_plot_size,meas_plot_size,plot_split,site_index,site_index_genus,site_index_species,site_height,lorey_height,site_age,num_lab,num_field,basal_area_standlive,basal_area_standdead,basal_area_falllive,stem_density_standlive,stem_density_standdead,stem_density_falllive,species_ltnum,bindex_ltshannon,bindex_lteven,bindex_ltmargalef,plotbio_stemwood_live,plotbio_stembark_live,plotbio_branches_live,plotbio_foliage_live,plotbio_stemwood_dead,plotbio_stembark_dead,plotbio_branches_dead
785506,0,2002-JUL-25,0,LTC,0.0400,0.0400,F,11.0,ABIE,BAL,12.5,13.1,101,0,6,24.56,2.78,0.00,1350,100,0,2,0.66,0.95,0.25,53.73,9.71,10.66,11.14,7.17,1.26,1.27
785506,1,2015-JUL-03,0,LTC,0.0400,0.0400,N,13.0,ABIE,BAL,13.8,12.2,71,6,0,19.13,7.14,0.00,1325,275,0,5,1.16,0.72,1.01,44.82,7.08,7.26,7.53,11.38,1.78,0.90
791331,0,2006-JUL-21,0,LTC,-1.0000,0.0300,F,,PICE,MAR,,6.8,,,,0.28,0.00,0.00,33,0,0,1,0.00,,0.00,0.39,0.08,0.05,0.09,0.00,0.00,0.00
798196,0,2006-JUL-21,0,LTC,-1.0000,0.0400,F,2.9,PICE,MAR,4.9,,109,2,0,0.00,0.00,0.00,0,0,0,0,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
798221,0,2006-JUL-28,0,LTC,-1.0000,0.0400,F,3.8,PICE,GLA,9.9,9.2,131,4,0,2.30,0.00,0.00,150,0,0,1,0.00,,0.00,3.58,0.70,0.73,0.50,0.00,0.00,0.00
805121,0,2006-JUL-22,0,LTC,-1.0000,0.0400,F,,PICE,GLA,8.1,8.1,92,1,0,0.36,0.00,0.00,25,0,0,1,0.00,,0.00,0.52,0.11,0.12,0.08,0.00,0.00,0.00
805126,0,2006-JUL-22,0,LTC,-1.0000,0.0400,F,2.5,PICE,MAR,6.8,6.4,163,3,0,1.18,2.41,0.00,150,100,0,2,0.64,0.92,0.56,1.53,0.32,0.33,0.32,6.70,0.94,0.29
805141,0,2005-AUG-10,0,LTC,-1.0000,0.0400,F,2.5,PICE,GLA,8.9,8.3,189,4,0,2.68,1.54,0.00,225,150,0,2,0.64,0.92,0.46,4.05,0.80,0.72,0.66,2.08,0.44,0.38
806156,0,2006-AUG-04,0,LTC,0.0400,0.0400,F,13.4,PICE,GLA,16.1,14.8,117,8,0,16.03,1.58,0.00,650,50,0,4,1.16,0.84,0.92,42.49,6.21,7.34,6.44,4.54,0.57,0.55
806156,0,2015-JUN-30,1,LTC,0.0400,0.0400,N,7.8,ABIE,BAL,8.5,14.2,96,4,0,18.85,9.36,0.00,875,375,0,4,0.91,0.66,0.84,47.37,7.08,8.13,5.57,17.72,2.41,1.26
